PERIODO_OFICIALIZACION,SUBREGIMEN,PAIS_ORIGEN_DESC,PAIS_PROCEDENCIA_DESC,MEDIO_TRANSPORTE_DESC,ADUANA_DESC,REGION_DESC,UNIDAD_DESC,CAPITULO,CAPITULO_DESC,PARTIDA,PARTIDA_DESC,CANTIDAD_UNIDAD,KILOS_NETOS,MONTO_FOB_DOLAR,CANAL
201704,IC04,CHINA,CHINA,AVION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8517,TELEFONOS__INCLUIDOS_LOS_TELEFONOS_CELUL,143,143,81694,N
201705,IC05,ITALIA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8481,ARTICULOS_DE_GRIFERIA_Y_ORGANOS_SIMILARE,614,614,73353,V
201703,IG07,REP__FED_DE_ALEMANIA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,87,VEHICULOS_AUTOMOVILES__TRACTORES__VELOCI,8708,PARTES_Y_ACCESORIOS_PARA_VEHICULOS_AUTOM,4948,4948,54112,V
201704,IC03,CHINA,CHINA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8482,RODAMIENTOS_DE_BOLAS__DE_RODILLOS_O_DE_A,16800,4872,64907,R
201702,IG03,REP__CHECA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8409,PARTES_IDENTIFICABLES_COMO_DESTINADAS__E,2596,2596,40441,R
201701,IC04,CHINA,PAISES_BAJOS,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8517,TELEFONOS__INCLUIDOS_LOS_TELEFONOS_CELUL,30,738,58650,N
201702,IG05,INDIA,INDIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8409,PARTES_IDENTIFICABLES_COMO_DESTINADAS__E,19440,19440,106436,V
201704,IG05,ITALIA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8409,PARTES_IDENTIFICABLES_COMO_DESTINADAS__E,6025,6025,91180,V
201705,IC05,ITALIA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,87,VEHICULOS_AUTOMOVILES__TRACTORES__VELOCI,8714,PARTES_Y_ACCESORIOS_PARA_VEHICULOS_DE_LA,4408,4408,102527,V
201706,IC04,CHINA,CHINA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8501,MOTORES_Y_GENERADORES__ELECTRICOS__EXCEP,6672,27796,112442,R
201702,IG04,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8414,BOMBAS_DE_AIRE_O_DE_VACIO__COMPRESORES_D,661,4318,67065,N
201701,IC04,ESPANA,ESPANA,AVION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8536,APARATOS_PARA_CORTE__SECCIONAMIENTO__PRO,339,339,59972,N
